Channel,Recipient,Title,TypeOfSupport,FinancialInstrument,Sector,Ressort,Jahr,Klimafinanzierung in USD,Region,Kontinent
bilateral,"Africa, regional",Biodiversity conservation and utilisation of ecosystem services in wetlands of transboundary significance in the Nile Basin,cross-cutting,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Advice to the Cuvelai Watercourse Commission in Groundwatermanagement,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,1500000.0,Afrika,Afrika
bilateral,"Africa, regional",LEAP - Locally Empowered Areas of Protection in the Western Indian Ocean,adaptation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Bioinnovation Africa for equitable benefit sharing,adaptation,Grant,Multisector (410),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Conservation and Sustainable Use of the Benguela Current Large Marine Ecosystem ,cross-cutting,Grant,Multisector (410),BMU,2021,1700000.0,Afrika,Afrika
bilateral,"Africa, regional",Social-ecological transformations combined with démocratisation from the left in Africa,adaptation,Grant,Government & Civil Society (150),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Conservation and Sustainable Use of the Benguela Current Large Marine Ecosystem,mitigation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening food security and reslience of small-scale farmer families in rural Africa,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Mami Wata – Enhancing Marina Management in West Africa through Training and Application,cross-cutting,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Promotion of the offer of loans secured against natural disasters by BOAD in West Africa,adaptation,Grant,Banking & Financial Services (240),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Clean captive installations for industrial clients in Sub-Sahara Africa,mitigation,Grant,Energy (230),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Regional cooperation in the water sector (Maghreb) - BGR,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,500000.0,Afrika,Afrika
bilateral,"Africa, regional",Solar Chill: Deploying Solar-Powered Environmentally Sound Freezers and Refrigerators in Off-Grid Areas ,mitigation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Competitive African Rice Initiative II,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,500000.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening the blue economy of the Western Indian Ocean ,cross-cutting,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Sustainable development of forestry in the border region of Niger-Burkina Faso,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Green Cooling Initiative II,mitigation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",climate-smart livestock development center,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Southern African Renewable Investment and Growth (SOARING) Programme ,mitigation,Grant,Energy (230),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening regional maritime governance - WIO 2,adaptation,Grant,Multisector (410),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",African Eco-Labelling Mechanism,mitigation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",NatuReS: Natural Resources Stewardship Programme,adaptation,Grant,"Multisector (410), Water Supply & Sanitation (140)",BMZ,2021,2812500.0,Afrika,Afrika
bilateral,"Africa, regional","PA categories V and VI as landscape mechanisms for enhancing biodiversity in agricultural land, ecological connectivity and REDD+ implementation",adaptation,Grant,Multisector (410),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Promotion of investments in rural MSMCs / Agribusiness Facility for Africa,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Support to transboundary water cooperation in the Nile Basin,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,3000000.0,Afrika,Afrika
bilateral,"Africa, regional",Linking Market Mechanisms and Climate Finance in Africa,mitigation,Grant,Banking & Financial Services (240),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Regional cooperation on sustainable water resource management in the Maghreb region,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,500000.0,Afrika,Afrika
bilateral,"Africa, regional",Competitive African Value Chains for Pro-Poor Growth,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Catalyzing private financing for climate impact in Africa,mitigation,Grant,Multisector (410),BMU,2021,20000000.0,Afrika,Afrika
bilateral,"Africa, regional","Construction of training centre and office building in Abidjan, Ivory Coast",cross-cutting,Grant,Education (110),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Universal Green Energy Access Program,mitigation,Grant,Energy (230),BMU,2021,8108772.22,Afrika,Afrika
bilateral,"Africa, regional",Support to the Congo Basin Forest Partnership,cross-cutting,Grant,Multisector (410),BMZ,2021,2000000.0,Afrika,Afrika
bilateral,"Africa, regional",Water Infrastructure Solutions from Ecosystem Services Underpining Climate Resilient Policies and Programmes ('WISE-UP to Climate'),adaptation,Grant,Water Supply & Sanitation (140),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Employment Promotion through Renewable Energies,mitigation,Grant,Energy (230),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",7th Energy Research Programme of the Federal Government / Client II International Partnerships for Sustainable Innovations,mitigation,Grant,Energy (230),BMBF,2021,7300000.0,Afrika,Afrika
bilateral,"Africa, regional",Sustainable water resource management in Maghreb,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Coronavirus pandemic: financing deforestation-free supply chains in Africa ,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMU,2021,10000000.0,Afrika,Afrika
bilateral,"Africa, regional",Support to transboundary water cooperation in the Nile Basin,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Growing smarter – sustainable mobility in East Africa,mitigation,Grant,Transport & Storage (210),BMU,2021,500000.0,Afrika,Afrika
bilateral,"Africa, regional",Promotion of the cotton economy in Sub-Saharan Africa,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",West African Alliance on Carbon Markets and Climate Finance,mitigation,Grant,Banking & Financial Services (240),BMU,2021,2798580.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening small scale farmers voices in influencing and monitoring the implementation of the Malabo Goals in Eastern and Southern Africa,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Green Climate Fund - Civil Society Readiness: Focus Africa,cross-cutting,Grant,Government & Civil Society (150),BMU,2021,1696906.15,Afrika,Afrika
bilateral,"Africa, regional","Regional Project Africa- improve basic sanitation, design livable and inclusive cities",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional","Study to Renewable Energy Transition in Africa - Powering Access, Resilience and Prosperity",mitigation,Grant,Energy (230),BMZ,2021,139000.0,Afrika,Afrika
bilateral,"Africa, regional",Promotion of Institutional Structures for Schoolbased Disaster Risk Reduction and Resilience Enhancement in the Middle East,adaptation,Grant,Humanitarian Aid (740),BMZ,2021,189468.0,Afrika,Afrika
bilateral,"Africa, regional",Supporting the lobby and advocacy work of the Symposium of the African Bishops' Conferences,mitigation,Grant,Government & Civil Society (150),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Programme to support sustainable agribusiness,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional","Promotion of the african cashew value chain ComCashew, phase III",cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening food and nutrition security and WASH services /COVID-19 pandemic for particularly vulnerable people in selected partner countries of WHH,adaptation,Grant,Health (120),BMZ,2021,5000000.0,Afrika,Afrika
bilateral,"Africa, regional",Support to transboundary water cooperation in the Nile Basin,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Climate risk analyses for adaption planning in sub-Saharan Africa - Agrica Sahel,adaptation,Grant,Multisector (410),BMZ,2021,1755438.0,Afrika,Afrika
bilateral,"Africa, regional",My Agro,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Knowledge Center for Organic Agriculture in Africa,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,3500000.0,Afrika,Afrika
bilateral,"Africa, regional",Alliance for a Green Revolution in Africa (AGRA) - Phase 2,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,7500000.0,Afrika,Afrika
bilateral,"Africa, regional",Climate-friendly cooking technologies: Kenya and Senegal,mitigation,Grant,Energy (230),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening the role of cooperatives agricultural finance in selected African countries,mitigation,Grant,Banking & Financial Services (240),BMZ,2021,475000.0,Afrika,Afrika
bilateral,"Africa, regional",Promoting the African rice value chain,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",International Climate and Environmental Protection KE5,cross-cutting,Grant,Multisector (410),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Rights and Resources Initiative (RRI) ,mitigation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Stregthening Networks and their Member Organisations in Food Severeignty in Africa,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,805000.0,Afrika,Afrika
bilateral,"Africa, regional",Cities Matter: Capacity building in sub-Saharan African megacities for transformational climate change mitigation ,mitigation,Grant,Other Multisector (430),BMU,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Towards Synergistic Africa-EU Green Collaborations (TSA-EU GC),mitigation,Grant,Multisector (410),BMZ,2021,109259.0,Afrika,Afrika
bilateral,"Africa, regional",Stärkung der Qualitätsinfrastruktur für Solarenergie im Maghreb,mitigation,Grant,Energy (230),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Transboundary biosphere reserve WAP region,cross-cutting,Grant,Multisector (410),BMZ,2021,6000000.0,Afrika,Afrika
bilateral,"Africa, regional",Strengthening civil society organisations in supporting the Africa Renewable Energy Initiative,mitigation,Grant,Energy (230),BMZ,2021,320000.0,Afrika,Afrika
bilateral,"Africa, regional",ClimSec Sahel - Early Warning System on HumanSecurity in the Sahel Region: Considering Climate Impacts on Food Security and Farmer-Herder Conflicts,cross-cutting,Grant,Other Multisector (430),AA,2021,147000.0,Afrika,Afrika
bilateral,"Africa, regional",Covid ARC Replica,adaptation,Grant,Other Multisector (430),BMZ,2021,8500000.0,Afrika,Afrika
bilateral,"Africa, regional",Integrated rural development with emphasis on economic self reliance and political inclusion in eight African countries,adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional","Strengthening of Municipal Structures, Maghreb",adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Funding for 'Regional Science Service Centres on Climate Change and Adaptive Land Management' financed by the Federal Ministry of Education and Research,adaptation,Grant,Non-attributable Measures (998),BMBF,2021,6873811.69,Afrika,Afrika
bilateral,"Africa, regional",Africa Energy Guarantee Facility AEGF,mitigation,non-concessional loan,Energy (230),KfW,2021,41907635.5,Afrika,Afrika
bilateral,"Africa, regional",FC promotional loan for the Emerging Africa Infrastructure Fund (EAIF),cross-cutting,concessional loan,Banking & Financial Services (240),KfW,2021,0.0,Afrika,Afrika
bilateral,"Africa, regional",Renewable Energy Programme AFREXIM Bank,mitigation,concessional loan,Energy (230),BMZ,2021,0.0,Afrika,Afrika
bilateral,Algeria,Waste and recycling management,mitigation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Nördlich der Sahara,Afrika
bilateral,Algeria,"InnoDev - Green and broad-based support for micro, small and medium-sized enterprises",adaptation,Grant,Business & Other Services (250),BMZ,2021,0.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Green Communities in Algeria,mitigation,Grant,Energy (230),BMZ,2021,0.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Environmental governance and biodiversity,cross-cutting,Grant,Multisector (410),BMZ,2021,0.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Strengthening waste value chains,mitigation,Grant,"Water Supply & Sanitation (140), Business & Other Services (250), Multisector (410)",BMZ,2021,1000000.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Environmental Governance and Biodiversity,adaptation,Grant,Multisector (410),BMZ,2021,1000000.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Improving employment opportunities in the municipal services sector,adaptation,Grant,Education (110),BMZ,2021,0.0,Nördlich der Sahara,Afrika
bilateral,Algeria,Strengthening climate governance in the framework of National Climate Contributions (NDCs),cross-cutting,Grant,Multisector (410),BMZ,2021,4000000.0,Nördlich der Sahara,Afrika
bilateral,Angola,Strengthening food security in selected rural areas and intensifying sustainable agricultural practice in Angola,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,"Strengthening sustainable development, food security and organizational capacities of small holder farmers households in the Archdiocese of Saurimo",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Improving nutritional status of indigenous families in three communities in Huíla Province,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,"Lobby and Monitoring of the impact of Public Policies for Rural Development in Angola, continuation",adaptation,Grant,Government & Civil Society (150),BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Food Security for Small Scale Farmers in Moxico Province,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,375000.0,Zentralafrika,Afrika
bilateral,Angola,Sustainable Development in the districts of Caluquembe (Huila province) and Caala (Huambo province),adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Strengthening self-help promotion in rural development in Kaluquembe,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,"Strengthening climate resilience of the smallholder oil palm cultivation, Kwanza Sul",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,499806.0,Zentralafrika,Afrika
bilateral,Angola,"Strengthening climate resilience in smallholder banana cultivation, Kwanza Sul Province / ANGOLA",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Climate-resilient agroforestry of smallholder communities in the eastern Kwanza Sul mountains,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,adaptation to climate change of disadvantaged rural communities in Manghete und western Cunene region / ANGOLA,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Climate change adaptation of disadvantaged rural communities in the district of Lubango,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,493794.0,Zentralafrika,Afrika
bilateral,Angola,"Rural vocational training and empowerment of rural girls in Chicumbi, Bié-Province",adaptation,Grant,Education (110),BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,resliance to climate change and access to water in Cacula and Chibia,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,750000.0,Zentralafrika,Afrika
bilateral,Angola,"Capacity strengthening of small-scale farmer associations for sustainable comunity development in Cacula-district, Angola",adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,Food Security for Small Scale Farmers in Moxico Province,adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,Angola,"PAR Angola, Partnership for Resilience in Angola",adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Zentralafrika,Afrika
bilateral,AU,Support for the East African Geothermal Initiative,mitigation,Grant,Energy (230),BMZ,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,AU,Promotion of the use of geothermal energy in countries of the African Union (BGR),mitigation,Grant,Energy (230),BMZ,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,AU,Support to the Platform for Agricultural  Risk Management (PARM),adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,AU,Pan African University III,mitigation,Grant,Education (110),BMZ,2021,1500000.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,AU,Pan-afrikanische Universität (PAU),cross-cutting,Grant,Education (110),BMZ,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,AU,Support to NEPAD/CAADP in the area of adaption to climate change in agriculture II,adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Andere/nicht aufteilbar,Andere/nicht aufteilbar
bilateral,Benin,adaptation of Agriculture to climate change,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,adaptation to climate change and securing water supply in Benin,cross-cutting,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Promotion of regional energy supply,mitigation,Grant,Energy (230),BMZ,2021,7500000.0,Westafrika,Afrika
bilateral,Benin,Program for decentralisation and local developpement V,adaptation,Grant,Government & Civil Society (150),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Promotion de l'Agriculture,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Communal management of the natural ressources and rural development in Vallée de Sitatunga,adaptation,Grant,Multisector (410),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Rehabilitation of the Nangbeto hydropower plant in the context of the West African Power Pool (WAPP),mitigation,Grant,Energy (230),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Vocational Training Partnership between Saar-Lor-Lux-Umweltzentrum of HWK Saarland and National Umbrella Organisations of Skilled Crafts in Benin,mitigation,Grant,Business & Other Services (250),BMZ,2021,80300.0,Westafrika,Afrika
bilateral,Benin,Programme d’approvisionnement en eau et assainissement en zone péri-urbaine,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Programme eau potable et assainissement,adaptation,Grant,not available ,BMZ,2021,1237500.0,Westafrika,Afrika
bilateral,Benin,Projet Fonds d'investissement Agriculture II,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,"Improving access to potable water in rural areas of the Kandi diocese, Benin",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,173500.0,Westafrika,Afrika
bilateral,Benin,Nangbéto solar-hydro hybrid power plant,mitigation,Grant,not available ,BMZ,2021,14000000.0,Westafrika,Afrika
bilateral,Benin,Programme Eau Potable et assainissement - Budget Programme par objectif IIb,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Improving food security through multifunctional family gardens,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,588000.0,Westafrika,Afrika
bilateral,Benin,Fonds fiduciaire Parc Nat. Pendjari,mitigation,Grant,Multisector (410),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Promoting measures to manage and mitigate the negative effects of climate change in the Natitingou diocese,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,Strengthening of a climate intelligent agricultural economy,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Benin,"Climate change adaptation in Oueme and Donga, continuation",adaptation,Grant,Other Multisector (430),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Basic drinking water supply and sanitation in Burkina Faso,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Improved agricultural practice in small holder farmer units to secure food sovereignty in Koudougu Diocese,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"Improving food security and income of rural population through innovative development in North, Central North, and Central Plateau Burkina Faso",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Improvement of the agricultural productiveness by ground-preserving and water-preserving measures,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Promoting sustainable development and resilience of vulnerable families against the negative effects of climate change,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Agricultural Development Programme,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"Drinking Water and Sanitation supply in Boucle du Mouhoun, Hauts-Bassins and South-West",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,3250000.0,Westafrika,Afrika
bilateral,Burkina Faso,Improving the resilience of farmer households against the climate crisis in eight rural communities,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,452000.0,Westafrika,Afrika
bilateral,Burkina Faso,"Drinking Water and Sanitation supply in Boucle du Mouhoun, Hauts-Bassins and South-West",cross-cutting,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Burkina Faso Country Strategic Plan (CSP) ,adaptation,Grant,Commodity Assistance and general Program Support (520),BMZ,2021,5000000.0,Westafrika,Afrika
bilateral,Burkina Faso,"Programme d'eau potable et d'assainissement dans quatre régions, phase III (AEPA-4R III) - Approvisionnement en eau potable à Niangoloko",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,10000000.0,Westafrika,Afrika
bilateral,Burkina Faso,"Drinking Water and Sanitation supply in Boucle du Mouhoun, Hauts-Bassins and South-West",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Agricultural Development Programme,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Promotion of renewable energy in the archdiocese of Bobo-Dioulasso,mitigation,Grant,Energy (230),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"Integrated rural and sustainable development with focus on peaceful cohabitation, Seno and Yagha provinces, Burkina Faso",cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Appui au dévelopment du secteur eau et assainissement - appui budgétaire,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Vorratsprüfung der Sektorbudgethilfe Städtische Wasserversorgung / ONEA,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Programme d'eau potable et d'assainissement dans les petites et moyennes villes,adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Improvement of the agricultural productiveness by ground-preserving and water-preserving measures,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Food security and resilience strengthening of vulnerable people against climate changes in the Sahel,adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"Strengthening food sovereignty in the municipalities of Kossouka, Séguénéga and Rambo, Région Nord, Burkina Faso",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"Drinking water supply and sanitation.
Strategy to adapt to changing climate conditions in Burkina Faso",adaptation,Grant,Water Supply & Sanitation (140),BMZ,2021,145367.5,Westafrika,Afrika
bilateral,Burkina Faso,SEWOH: Project to improve biodiversity and nutrition in Burkina Faso.,adaptation,Grant,Health (120),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,"SEWOH: Inclusive Food Security and Nutrition Project in the region Hauts-Bassins, Burkina Faso",adaptation,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Ecological Awareness and strengthening resilience Burkina Faso,adaptation,Grant,Multisector (410),BMZ,2021,0.0,Westafrika,Afrika
bilateral,Burkina Faso,Agricultural Development Programme,cross-cutting,Grant,"Agriculture, Forestry, Fishing (310)",BMZ,2021,7400000.0,Westafrika,Afrika
